"k";"count(k)"
"health_specialty:travel_medicine";"1"
"health_specialty:urology";"1"
"height";"221"
"heritage";"103"
"heritage:ensemble";"1"
"heritage:image";"2"
"heritage:operator";"94"
"heritage:operator:short";"29"
"heritage:operator:website";"2"
"heritage:ref";"82"
"heritage:ref:vie";"22"
"heritage:since";"29"
"heritage:website";"40"
"hgv";"11"
"hgv:7.5";"1"
"highlands";"3"
"highspeed";"3"
"highway";"736"
"hiking";"51"
"hint";"2"
"historic";"332"
"historic:civilization";"5"
"historic:period";"3"
"historic:period_1";"1"
"historic:ref";"2"
"historic_1";"1"
"history";"7"
"horse";"12"
"hospital";"1"
"hour_off";"5"
"hour_on";"5"
"hygrometer";"1"
"iata";"2"
"IBNR";"1"
"icao";"3"
"ice_skates";"1"
"icn_ref";"17"
"icon";"1"
"image";"82"
"importance";"1"
"indoor";"33"
"industrial";"3"
"info";"4"
"information";"4"
"information:blinds";"1"
"inline_skates";"1"
"inner";"1"
"instrument";"1"
"intermittent";"5"
"internet_access";"13"
"internet_access:fee";"10"
"internet_access:operator";"7"
"internet_access:ssid";"1"
"interval";"24"
"interval:days";"2"
"interval:evening";"10"
"interval:weekend";"10"
"int_name";"33"
"isced:level";"7"
"ISO3166-1";"5"
"ISO3166-1:alpha2";"5"
"ISO3166-1:alpha3";"5"
"ISO3166-1:numeric";"4"
"ISO3166-2";"10"
"iste:grooming";"1"
"is_in";"349"
"is_in:city";"222"
"is_in:continent";"6"
"is_in:country";"1"
"is_in:iso_3166_2";"1"
"is_in:state_code";"137"
"is_in:suburb";"1"
"junction";"81"
"junction_ref";"36"
"KBS";"1"
"kurs";"1"
"kurs:A";"1"
"kurs:B1";"2"
"kurs:B2";"2"
"kurs:B3";"2"
"kurs:B4";"1"
"kurs:B5";"1"
"kurs:BG";"1"
"kurs:BM1";"1"
"kurs:BM2";"1"
"kurs:BM3";"1"
"kurs:BS1";"1"
"kurs:BSM1";"1"
"kurs:GH1";"1"
"kurs:H1";"2"
"kurs:H2";"2"
"kurs:HG";"1"
"kurs:HSM1";"1"
"kurs:HSM2";"1"
"kurs:M1";"2"
"kurs:M2";"2"
"kurs:M3";"1"
"kurs:M4";"1"
"kurs:M5";"1"
"kurs:MB1";"1"
"kurs:MB2";"1"
"kurs:MM1";"2"
"kurs:MM2";"2"
"kurs:MM3";"1"
"kurs:MM4";"1"
"kurs:MM5";"1"
"kurs:MM6";"1"
"kurs:MSH1";"1"
"kurs:MSH2";"1"
"kurs:MSM1";"1"
"kurs:MSM2";"2"
"kurs:MU";"1"
"kurs:O";"1"
"kurs:PS1";"1"
"kurs:PS2";"1"
"kurs:PS3";"1"
"kurs:RN";"1"
"kurs:S";"1"
"kurs:SB";"1"
"kurs:SMG";"1"
"kurs:SPS";"1"
"kurs:T";"1"
"kurs:W";"1"
"label";"3"
"landcover";"2"
"landuse";"11142"
"land_area";"3"
"lanes";"431"
"lanes:extra";"81"
"LANUV-NRW:ref";"4"
"LANUV_ID";"1"
"LANUV_ID:ref";"24"
"lastcheck";"9"
"layer";"347"
"lcd";"70"
"lcn";"37"
"lcn_ref";"15"
"leaf_cycle";"206"
"leaf_type";"663"
"left:country";"2"
"leisure";"1311"
"length";"69"
"lengths:left";"58"
"lengths:right";"19"
"level";"357"
"level:usage";"3"
"license_plate_code";"2"
"light_rail";"78"
"line";"124"
"link";"2"
"lit";"175"
"local_name";"1"
"local_ref";"229"
"location";"1"
"location_hint";"1"
"loc_name";"162"
"loc_name:de";"1"
"loc_name:fr";"1"
"loc_name:nl";"1"
"loc_type";"1"
"long_name";"2"
"long_name:da";"1"
"long_name:de";"2"
"long_name:en";"2"
"long_name:es";"2"
"long_name:eu";"2"
"long_name:fr";"3"
"long_name:gsw";"2"
"long_name:hsb";"2"
"long_name:hu";"2"
"long_name:it";"2"
"long_name:nl";"3"
"long_name:pl";"2"
"long_name:pt";"2"
"long_name:ru";"2"
"long_name:sv";"2"
"long_name:uk";"2"
"loyalty_card";"1"
"lwm";"1"
"lwn";"4185"
"lwn_ref";"4"
"maintenance";"64"
"main_road";"5"
"man_made";"118"
"mapillary";"1"
"marked_trail";"3"
"marker";"1"
"material";"1"
"maxheight";"8"
"maxspeed";"467"
"maxspeed:conditional";"4"
"maxstay";"2"
"maxweight";"8"
"max_age";"5"
"max_level";"1"
"meadow";"6"
"meadowtype";"1"
"medical_system:western";"20"
"military";"9"
"mindistance";"1"
"mine";"1"
"min_age";"3"
"min_height";"20"
"min_level";"5"
"moated";"4"
"mobile";"1"
"monorail";"1"
"motorboat";"2"
"motorcar";"5"
"motorcycle";"5"
"motor_vehicle";"16"
"mown";"32"
"mtb:type";"34"
"multipolygon";"2"
"nae";"2"
"name";"67245"
"name2";"1"
"name:ab";"2"
"name:ace";"4"
"name:af";"6"
"name:ak";"2"
"name:als";"5"
"name:alt_prefix";"1"
